z,a1,n0,n1,a0,a0_avg
0.0871,0.00386,1.0,1.2e-05,0.893125,0.908182
0.1828,0.010621,1.0,7e-06,0.893561,0.908182
0.2785,0.003965,1.0,1.9e-05,0.893065,0.908182
0.3742,0.004883,1.0,0.000129,0.893245,0.908182
0.4699,0.003717,1.0,7.8e-05,0.89347,0.908182
0.5656,0.005361,1.0,6.1e-05,0.889189,0.908182
0.6613,0.172093,1.0,0.999995,0.881741,0.908182
0.757,0.362937,1.0,1.0,0.891701,0.908182
0.8527,0.488935,1.0,1.0,0.899202,0.908182
0.9484,0.588241,1.0,1.0,0.905221,0.908182
1.0441,0.679415,1.0,1.0,0.910872,0.908182
1.1398,0.761183,1.0,1.0,0.915358,0.908182
1.2355,0.835738,1.0,1.0,0.91908,0.908182
1.3312,0.903582,0.995826,1.0,0.922141,0.908182
1.4269,0.958374,0.971722,1.0,0.924325,0.908182
1.5226,1.001213,0.934264,1.0,0.925218,0.908182
1.6183,1.037713,0.893921,1.0,0.925544,0.908182
1.714,1.066404,0.845941,1.0,0.925445,0.908182
1.8097,1.090802,0.800673,1.0,0.924639,0.908182
1.9054,1.108919,0.753692,1.0,0.923362,0.908182
2.0011,1.125057,0.703511,1.0,0.92231,0.908182
