z,a1,n0,n1,a0,a0_avg
0.0871,0.195001,1.0,0.123346,0.908182,0.908182
0.1828,0.260001,1.0,0.163149,0.908182,0.908182
0.2785,0.325001,1.0,0.202952,0.908182,0.908182
0.3742,0.390001,1.0,0.223475,0.908182,0.908182
0.4699,0.390001,1.0,0.223475,0.908182,0.908182
0.5656,0.451021,1.0,0.223475,0.908182,0.908182
0.6613,0.585001,1.0,0.27159,0.908182,0.908182
0.757,0.65,1.0,0.389967,0.908182,0.908182
0.8527,0.715,1.0,0.441771,0.908182,0.908182
0.9484,0.78,1.0,0.481574,0.908182,0.908182
1.0441,0.845,1.0,0.521378,0.908182,0.908182
1.1398,0.91,1.0,0.561181,0.908182,0.908182
1.2355,0.975,1.0,0.600984,0.908182,0.908182
1.3312,1.03217,0.995826,0.640787,0.908182,0.908182
1.4269,1.064125,0.971722,0.68059,0.908182,0.908182
1.5226,1.086749,0.934264,0.720394,0.908182,0.908182
1.6183,1.104409,0.893921,0.760197,0.908182,0.908182
1.714,1.115454,0.845941,0.8,0.908182,0.908182
1.8097,1.14273,0.800673,0.8,0.908182,0.908182
1.9054,1.164407,0.753692,0.8,0.908182,0.908182
2.0011,1.183496,0.703511,0.8,0.908182,0.908182
