z,a1,n0,n1,a0,a0_avg
0.0871,0.004565,1.0,0.000136,0.91419,0.917649
0.1828,0.005846,1.0,1.4e-05,0.915088,0.917649
0.2785,0.004252,1.0,0.000138,0.913825,0.917649
0.3742,0.004108,1.0,4e-05,0.913625,0.917649
0.4699,0.003751,1.0,0.000127,0.914096,0.917649
0.5656,0.003523,1.0,1e-06,0.914157,0.917649
0.6613,0.004569,1.0,3.2e-05,0.903896,0.917649
0.757,0.218902,1.0,0.999999,0.89052,0.917649
0.8527,0.396224,1.0,1.0,0.899156,0.917649
0.9484,0.519631,1.0,1.0,0.907212,0.917649
1.0441,0.594543,1.0,1.0,0.911339,0.917649
1.1398,0.697048,1.0,1.0,0.915115,0.917649
1.2355,0.817813,1.0,1.0,0.920667,0.917649
1.3312,0.935262,0.982866,1.0,0.926056,0.917649
1.4269,1.013692,0.91954,1.0,0.929742,0.917649
1.5226,1.063597,0.856614,1.0,0.931303,0.917649
1.6183,1.095303,0.798028,1.0,0.931694,0.917649
1.714,1.119672,0.745772,1.0,0.932134,0.917649
1.8097,1.13369,0.701493,1.0,0.930838,0.917649
1.9054,1.144738,0.664199,1.0,0.92925,0.917649
2.0011,1.152751,0.6325,1.0,0.92673,0.917649
