z,a1,n0,n1,a0,a0_avg
0.0871,0.01,1.0,0.003936,0.934149,0.934149
0.1828,0.0895,1.0,0.053739,0.934149,0.934149
0.2785,0.169,1.0,0.103542,0.934149,0.934149
0.3742,0.2485,1.0,0.153346,0.934149,0.934149
0.4699,0.2485,1.0,0.153346,0.934149,0.934149
0.5656,0.2485,1.0,0.153346,0.934149,0.934149
0.6613,0.644275,1.0,0.153346,0.934149,0.934149
0.757,0.649466,1.0,0.53185,0.934149,0.934149
0.8527,0.807445,1.0,0.581653,0.934149,0.934149
0.9484,0.914813,1.0,0.631456,0.934149,0.934149
1.0441,1.072193,0.981752,0.68126,0.934149,0.934149
1.1398,1.1707,0.849654,0.731063,0.934149,0.934149
1.2355,1.211628,0.718637,0.780866,0.934149,0.934149
1.3312,1.219965,0.64305,0.830669,0.934149,0.934149
1.4269,1.219965,0.61064,0.868055,0.934149,0.934149
1.5226,1.219965,0.589969,0.887907,0.934149,0.934149
1.6183,1.219965,0.556476,0.916674,0.934149,0.934149
1.714,1.219965,0.511047,0.944739,0.934149,0.934149
1.8097,1.219965,0.460219,0.971563,0.934149,0.934149
1.9054,1.2343,0.40915,0.971563,0.934149,0.934149
2.0011,1.3138,0.364993,0.971563,0.934149,0.934149
