z,a1,n0,n1,a0,a0_avg
0.0871,0.813317,1.0,1.0,0.979409,0.975578
0.1828,0.812971,1.0,1.0,0.979326,0.975578
0.2785,0.808181,1.0,1.0,0.978355,0.975578
0.3742,0.809435,1.0,1.0,0.978627,0.975578
0.4699,0.823575,1.0,1.0,0.979576,0.975578
0.5656,0.977234,1.0,1.0,0.982644,0.975578
0.6613,1.172976,0.842775,0.963566,0.976153,0.975578
0.757,1.511802,0.596445,0.54905,0.980047,0.975578
0.8527,1.78434,0.413194,0.323747,0.981369,0.975578
0.9484,1.995151,0.295133,0.206232,0.980527,0.975578
1.0441,2.182609,0.219199,0.134778,0.979472,0.975578
1.1398,2.340455,0.168659,0.092649,0.978068,0.975578
1.2355,2.481545,0.133552,0.065725,0.977006,0.975578
1.3312,2.609371,0.10823,0.047814,0.975915,0.975578
1.4269,2.72702,0.089206,0.035439,0.974905,0.975578
1.5226,2.83611,0.074949,0.026855,0.974062,0.975578
1.6183,2.938158,0.063549,0.020564,0.973343,0.975578
1.714,3.0,0.054455,0.017134,0.971154,0.975578
1.8097,3.0,0.047319,0.016319,0.966505,0.975578
1.9054,3.0,0.041567,0.015627,0.962297,0.975578
2.0011,3.0,0.036847,0.015014,0.958385,0.975578
