z,a1,n0,n1,a0,a0_avg
0.0871,0.138398,1.0,0.742965,0.974198,0.978963
0.1828,0.093241,1.0,0.038529,0.97739,0.978963
0.2785,1.008082,1.0,0.034618,0.997507,0.978963
0.3742,2.5,1.0,0.00044,0.980295,0.978963
0.4699,0.004913,1.0,0.000145,0.974873,0.978963
0.5656,0.004069,1.0,8.6e-05,0.974876,0.978963
0.6613,0.745256,1.0,1.0,0.997734,0.978963
0.757,1.149091,0.858592,1.0,1.0,0.978963
0.8527,1.258899,0.482229,1.0,0.985013,0.978963
0.9484,1.535074,0.243588,0.601962,0.985985,0.978963
1.0441,1.710418,0.196585,0.409664,0.985033,0.978963
1.1398,1.902554,0.240759,0.261931,0.98385,0.978963
1.2355,2.17968,0.098318,0.142843,0.986219,0.978963
1.3312,2.249332,0.131913,0.118484,0.983324,0.978963
1.4269,2.253769,0.199097,0.111421,0.976945,0.978963
1.5226,2.5,0.026038,0.064656,0.981073,0.978963
1.6183,2.496512,0.121049,0.059219,0.973755,0.978963
1.714,2.5,0.087828,0.059491,0.97185,0.978963
1.8097,2.5,0.082049,0.058416,0.968574,0.978963
1.9054,2.5,0.006487,0.049381,0.952073,0.978963
2.0011,2.5,0.005755,0.047786,0.947646,0.978963
