z,a1,n0,n1,a0,a0_avg
0.0871,0.01,1.0,2.0,0.978963,0.978963
0.1828,0.147,1.0,1.900005,0.978963,0.978963
0.2785,0.284,1.0,1.80001,0.978963,0.978963
0.3742,0.421,1.0,1.700015,0.978963,0.978963
0.4699,0.558,1.0,1.60002,0.978963,0.978963
0.5656,0.421,1.0,1.300035,0.978963,0.978963
0.6613,0.566054,1.0,1.60002,0.978963,0.978963
0.757,0.948492,0.858592,1.500025,0.978963,0.978963
0.8527,1.198217,0.482229,1.124649,0.978963,0.978963
0.9484,1.344255,0.243588,0.900055,0.978963,0.978963
1.0441,1.399463,0.196585,0.80006,0.978963,0.978963
1.1398,1.450082,0.240759,0.700065,0.978963,0.978963
1.2355,1.515746,0.098318,0.60007,0.978963,0.978963
1.3312,1.59164,0.131913,0.500075,0.978963,0.978963
1.4269,1.687464,0.199097,0.40008,0.978963,0.978963
1.5226,1.814701,0.026038,0.300085,0.978963,0.978963
1.6183,1.978158,0.121049,0.20009,0.978963,0.978963
1.714,2.298772,0.087828,0.100095,0.978963,0.978963
1.8097,2.658739,0.082049,0.043223,0.978963,0.978963
1.9054,2.75,0.006487,0.032887,0.978963,0.978963
2.0011,2.75,0.005755,0.032765,0.978963,0.978963
