z,a1,n0,n1,a0,a0_avg
0.0871,0.240487,1.0,0.535816,0.976801,0.977622
0.1828,0.439648,1.0,0.540618,0.996266,0.977622
0.2785,0.127378,1.0,0.381851,0.976034,0.977622
0.3742,0.004249,1.0,5.9e-05,0.974328,0.977622
0.4699,0.003417,1.0,0.00011,0.974123,0.977622
0.5656,0.005966,1.0,3.1e-05,0.973457,0.977622
0.6613,0.992282,0.98723,1.0,1.0,0.977622
0.757,1.323579,0.478997,0.889905,0.986509,0.977622
0.8527,1.744742,0.178837,0.387741,0.988615,0.977622
0.9484,2.015265,0.101264,0.214297,0.989511,0.977622
1.0441,2.244662,0.162259,0.123009,0.987457,0.977622
1.1398,2.359876,0.189669,0.091055,0.983203,0.977622
1.2355,2.412681,0.18282,0.077683,0.978274,0.977622
1.3312,2.615659,0.132655,0.047334,0.976861,0.977622
1.4269,2.805934,0.094814,0.029459,0.976476,0.977622
1.5226,2.95874,0.069384,0.019982,0.975796,0.977622
1.6183,3.0,0.052718,0.01708,0.971044,0.977622
1.714,3.0,0.046314,0.016227,0.966174,0.977622
1.8097,3.0,0.038261,0.015616,0.962807,0.977622
1.9054,3.0,0.030401,0.015096,0.959637,0.977622
2.0011,3.0,0.024105,0.014632,0.956686,0.977622
