z,a1,n0,n1,a0,a0_avg
0.0871,1e-06,1.0,0.003936,0.845435,0.845435
0.1828,0.040001,1.0,0.038859,0.845435,0.845435
0.2785,0.080001,1.0,0.073782,0.845435,0.845435
0.3742,0.120001,1.0,0.108706,0.845435,0.845435
0.4699,0.160001,1.0,0.143629,0.845435,0.845435
0.5656,0.200001,1.0,0.178552,0.845435,0.845435
0.6613,0.160001,1.0,0.143629,0.845435,0.845435
0.757,0.200001,1.0,0.178552,0.845435,0.845435
0.8527,0.240001,1.0,0.213475,0.845435,0.845435
0.9484,0.305712,1.0,0.248398,0.845435,0.845435
1.0441,0.414462,1.0,0.283322,0.845435,0.845435
1.1398,0.462039,1.0,0.318245,0.845435,0.845435
1.2355,0.510683,1.0,0.353168,0.845435,0.845435
1.3312,0.560778,1.0,0.388091,0.845435,0.845435
1.4269,0.555417,1.0,0.502241,0.845435,0.845435
1.5226,0.56055,1.0,0.59763,0.845435,0.845435
1.6183,0.597337,1.0,0.632554,0.845435,0.845435
1.714,0.622445,1.0,0.667477,0.845435,0.845435
1.8097,0.64711,1.0,0.7024,0.845435,0.845435
1.9054,0.68,1.0,0.7024,0.845435,0.845435
2.0011,0.72,1.0,0.690326,0.845435,0.845435
