z,a1,n0,n1,a0,a0_avg
0.0871,0.80088,1.0,0.960603,0.957754,0.963691
0.1828,0.800971,1.0,0.960328,0.957755,0.963691
0.2785,0.800844,1.0,0.960774,0.957751,0.963691
0.3742,0.80282,1.0,0.958727,0.957809,0.963691
0.4699,0.844355,1.0,0.939491,0.958964,0.963691
0.5656,1.060443,1.0,0.843169,0.964249,0.963691
0.6613,1.355631,0.869452,0.627458,0.969306,0.963691
0.757,1.620092,0.651965,0.411929,0.971683,0.963691
0.8527,1.852916,0.478715,0.26331,0.972458,0.963691
0.9484,2.051995,0.358808,0.171733,0.971868,0.963691
1.0441,2.225092,0.274977,0.114955,0.970944,0.963691
1.1398,2.377527,0.218242,0.08003,0.969792,0.963691
1.2355,2.514882,0.176612,0.056949,0.968666,0.963691
1.3312,2.640811,0.144303,0.041006,0.967676,0.963691
1.4269,2.757511,0.12048,0.030251,0.966826,0.963691
1.5226,2.866363,0.102399,0.022792,0.966082,0.963691
1.6183,2.9685,0.088334,0.017488,0.965449,0.963691
1.714,3.0,0.077173,0.015612,0.961933,0.963691
1.8097,3.0,0.068226,0.014973,0.957458,0.963691
1.9054,3.0,0.060456,0.014307,0.953392,0.963691
2.0011,3.0,0.054031,0.013731,0.949691,0.963691
