z,a1,n0,n1,a0,a0_avg
0.0871,0.294,1.0,2.0,0.963691,0.963691
0.1828,0.436,1.0,2.0,0.963691,0.963691
0.2785,0.578,1.0,2.0,0.963691,0.963691
0.3742,0.673172,1.0,1.500025,0.963691,0.963691
0.4699,0.722278,1.0,1.40003,0.963691,0.963691
0.5656,0.894909,1.0,1.300035,0.963691,0.963691
0.6613,1.073082,0.869452,1.20004,0.963691,0.963691
0.757,1.176464,0.651965,1.100045,0.963691,0.963691
0.8527,1.243978,0.478715,1.00005,0.963691,0.963691
0.9484,1.296109,0.358808,0.900055,0.963691,0.963691
1.0441,1.342518,0.274977,0.80006,0.963691,0.963691
1.1398,1.395924,0.218242,0.700065,0.963691,0.963691
1.2355,1.45576,0.176612,0.60007,0.963691,0.963691
1.3312,1.572,0.144303,0.500075,0.963691,0.963691
1.4269,1.714,0.12048,0.40008,0.963691,0.963691
1.5226,1.856,0.102399,0.300085,0.963691,0.963691
1.6183,1.998,0.088334,0.20009,0.963691,0.963691
1.714,2.229083,0.077173,0.100095,0.963691,0.963691
1.8097,2.85,0.068226,0.0227,0.963691,0.963691
1.9054,2.85,0.060456,0.022382,0.963691,0.963691
2.0011,2.85,0.054031,0.022094,0.963691,0.963691
