z,a1,n0,n1,a0,a0_avg
0.0871,0.195001,1.0,0.123346,0.911907,0.911907
0.1828,0.260001,1.0,0.163149,0.911907,0.911907
0.2785,0.297465,1.0,0.163149,0.911907,0.911907
0.3742,0.328402,1.0,0.163149,0.911907,0.911907
0.4699,0.328402,1.0,0.163149,0.911907,0.911907
0.5656,0.333749,1.0,0.163149,0.911907,0.911907
0.6613,0.585001,1.0,0.186957,0.911907,0.911907
0.757,0.65,1.0,0.329411,0.911907,0.911907
0.8527,0.706772,1.0,0.441771,0.911907,0.911907
0.9484,0.78,1.0,0.481574,0.911907,0.911907
1.0441,0.845,1.0,0.521378,0.911907,0.911907
1.1398,0.91,1.0,0.561181,0.911907,0.911907
1.2355,0.975,1.0,0.600984,0.911907,0.911907
1.3312,1.036419,0.996347,0.640787,0.911907,0.911907
1.4269,1.072404,0.969934,0.68059,0.911907,0.911907
1.5226,1.097227,0.929868,0.720394,0.911907,0.911907
1.6183,1.115942,0.886905,0.760197,0.911907,0.911907
1.714,1.12746,0.835556,0.8,0.911907,0.911907
1.8097,1.154979,0.789696,0.8,0.911907,0.911907
1.9054,1.176414,0.739324,0.8,0.911907,0.911907
2.0011,1.194645,0.690999,0.8,0.911907,0.911907
