z,a1,n0,n1,a0,a0_avg
0.0871,0.01,1.0,2.0,0.974201,0.974201
0.1828,0.1495,1.0,1.900005,0.974201,0.974201
0.2785,0.289,1.0,1.80001,0.974201,0.974201
0.3742,0.336714,1.0,1.700015,0.974201,0.974201
0.4699,0.327383,1.0,1.80001,0.974201,0.974201
0.5656,0.4285,1.0,1.300035,0.974201,0.974201
0.6613,0.81476,0.980054,1.60002,0.974201,0.974201
0.757,1.155821,0.584906,1.171213,0.974201,0.974201
0.8527,1.27869,0.3366,1.00005,0.974201,0.974201
0.9484,1.33269,0.22807,0.900055,0.974201,0.974201
1.0441,1.378426,0.198138,0.80006,0.974201,0.974201
1.1398,1.426963,0.192241,0.700065,0.974201,0.974201
1.2355,1.488437,0.166819,0.60007,0.974201,0.974201
1.3312,1.565666,0.134532,0.500075,0.974201,0.974201
1.4269,1.684,0.134706,0.40008,0.974201,0.974201
1.5226,1.8235,0.097646,0.300085,0.974201,0.974201
1.6183,1.963,0.087729,0.20009,0.974201,0.974201
1.714,2.262528,0.070175,0.100095,0.974201,0.974201
1.8097,2.8,0.025393,0.027232,0.974201,0.974201
1.9054,2.8,0.072872,0.028145,0.974201,0.974201
2.0011,2.8,0.015557,0.026708,0.974201,0.974201
