z,a1,n0,n1,a0,a0_avg
0.0871,0.640045,1.0,1.0,0.97991,0.977682
0.1828,0.639969,1.0,1.0,0.979895,0.977682
0.2785,0.640006,1.0,1.0,0.979902,0.977682
0.3742,0.640038,1.0,1.0,0.979908,0.977682
0.4699,0.642083,1.0,1.0,0.980003,0.977682
0.5656,0.751947,1.0,1.0,0.984943,0.977682
0.6613,1.024875,0.992111,1.0,0.991798,0.977682
0.757,1.165762,0.821944,1.0,0.983456,0.977682
0.8527,1.37707,0.624279,0.718314,0.980199,0.977682
0.9484,1.602115,0.47066,0.472358,0.981801,0.977682
1.0441,1.785683,0.363553,0.32597,0.982023,0.977682
1.1398,1.939769,0.28853,0.234124,0.981315,0.977682
1.2355,2.070271,0.23492,0.17541,0.98031,0.977682
1.3312,2.186095,0.194021,0.134263,0.979161,0.977682
1.4269,2.29113,0.161554,0.103917,0.978039,0.977682
1.5226,2.387424,0.135888,0.081589,0.97699,0.977682
1.6183,2.476298,0.115989,0.065254,0.976013,0.977682
1.714,2.5,0.100325,0.059375,0.97145,0.977682
1.8097,2.5,0.087871,0.056887,0.966068,0.977682
1.9054,2.5,0.077863,0.054814,0.96125,0.977682
2.0011,2.5,0.069803,0.053068,0.956889,0.977682
