z,a1,n0,n1,a0,a0_avg
0.0871,0.182878,1.0,0.153551,0.912719,0.915859
0.1828,0.056757,1.0,0.287645,0.901178,0.915859
0.2785,0.01137,1.0,0.039573,0.90999,0.915859
0.3742,0.003353,1.0,0.000119,0.90807,0.915859
0.4699,0.005021,1.0,2.2e-05,0.907094,0.915859
0.5656,0.004369,1.0,0.0,0.908458,0.915859
0.6613,0.004149,1.0,5.6e-05,0.900352,0.915859
0.757,0.212991,1.0,1.0,0.885583,0.915859
0.8527,0.404721,1.0,1.0,0.897237,0.915859
0.9484,0.528558,1.0,1.0,0.907335,0.915859
1.0441,0.581494,1.0,1.0,0.911117,0.915859
1.1398,0.682095,1.0,1.0,0.914691,0.915859
1.2355,0.856736,0.99832,1.0,0.922187,0.915859
1.3312,1.007903,0.924352,1.0,0.929923,0.915859
1.4269,1.048819,0.876413,1.0,0.930367,0.915859
1.5226,1.081959,0.823366,1.0,0.931798,0.915859
1.6183,1.120547,0.749593,1.0,0.934417,0.915859
1.714,1.138962,0.694213,1.0,0.934081,0.915859
1.8097,1.146629,0.664754,1.0,0.931566,0.915859
1.9054,1.152203,0.638531,1.0,0.928752,0.915859
2.0011,1.15861,0.61131,1.0,0.926119,0.915859
