z,a1,n0,n1,a0,a0_avg
0.0871,0.763725,1.0,1.0,0.972314,0.970792
0.1828,0.763738,1.0,1.0,0.972318,0.970792
0.2785,0.763741,1.0,1.0,0.972317,0.970792
0.3742,0.763913,1.0,1.0,0.97232,0.970792
0.4699,0.778003,1.0,1.0,0.972792,0.970792
0.5656,0.9374,1.0,1.0,0.9764,0.970792
0.6613,1.127771,0.891204,1.0,0.971815,0.970792
0.757,1.432437,0.660495,0.617041,0.974833,0.970792
0.8527,1.687703,0.476755,0.384581,0.976122,0.970792
0.9484,1.893868,0.351881,0.251437,0.975139,0.970792
1.0441,2.070227,0.26545,0.170253,0.974443,0.970792
1.1398,2.222259,0.204789,0.118561,0.973097,0.970792
1.2355,2.356825,0.163767,0.085978,0.971746,0.970792
1.3312,2.479214,0.133308,0.063516,0.970504,0.970792
1.4269,2.592035,0.109541,0.047398,0.969405,0.970792
1.5226,2.697108,0.091389,0.035949,0.968454,0.970792
1.6183,2.795738,0.077512,0.027749,0.96763,0.970792
1.714,2.888245,0.066674,0.021774,0.966895,0.970792
1.8097,2.97545,0.058077,0.017333,0.966228,0.970792
1.9054,3.0,0.051149,0.015775,0.962939,0.970792
2.0011,3.0,0.045484,0.015188,0.958929,0.970792
