z,a1,n0,n1,a0,a0_avg
0.0871,0.279905,1.0,0.999998,0.968735,0.976531
0.1828,0.279968,1.0,0.999999,0.968745,0.976531
0.2785,0.280002,1.0,0.999999,0.968746,0.976531
0.3742,0.280081,1.0,1.0,0.968756,0.976531
0.4699,0.279924,1.0,0.999998,0.968739,0.976531
0.5656,0.292442,1.0,1.0,0.969329,0.976531
0.6613,0.870102,1.0,1.0,1.0,0.976531
0.757,1.189531,0.783103,1.0,1.0,0.976531
0.8527,1.258333,0.491293,1.0,0.983006,0.976531
0.9484,1.548721,0.331047,0.564725,0.98511,0.976531
1.0441,1.749104,0.258419,0.368067,0.9854,0.976531
1.1398,1.911038,0.243684,0.256816,0.984205,0.976531
1.2355,2.051572,0.228969,0.184847,0.982114,0.976531
1.3312,2.1809,0.195097,0.137058,0.98067,0.976531
1.4269,2.391354,0.081208,0.084286,0.981977,0.976531
1.5226,2.371004,0.160984,0.083884,0.97671,0.976531
1.6183,2.473402,0.129649,0.06515,0.976084,0.976531
1.714,2.5,0.110455,0.059046,0.971745,0.976531
1.8097,2.5,0.089269,0.056369,0.965831,0.976531
1.9054,2.5,0.115402,0.056455,0.964958,0.976531
2.0011,2.5,0.063855,0.052514,0.956298,0.976531
