z,a1,n0,n1,a0,a0_avg
0.0871,0.007054,1.0,2e-06,0.901873,0.923587
0.1828,0.006107,1.0,4.5e-05,0.901097,0.923587
0.2785,0.003492,1.0,2.2e-05,0.901617,0.923587
0.3742,0.004457,1.0,0.000313,0.901272,0.923587
0.4699,0.003582,1.0,0.000344,0.901144,0.923587
0.5656,0.130543,1.0,1.0,0.902299,0.923587
0.6613,0.37955,1.0,1.0,0.912474,0.923587
0.757,0.574335,1.0,1.0,0.924991,0.923587
0.8527,0.716293,1.0,1.0,0.931921,0.923587
0.9484,0.845064,1.0,1.0,0.938391,0.923587
1.0441,0.953076,0.985109,1.0,0.942871,0.923587
1.1398,1.028736,0.931166,1.0,0.944705,0.923587
1.2355,1.080807,0.86129,1.0,0.944204,0.923587
1.3312,1.117632,0.786992,1.0,0.942516,0.923587
1.4269,1.145072,0.716667,1.0,0.940267,0.923587
1.5226,1.162868,0.650143,1.0,0.937135,0.923587
1.6183,1.175478,0.590201,1.0,0.933296,0.923587
1.714,1.183774,0.535489,1.0,0.929703,0.923587
1.8097,1.18742,0.484211,1.0,0.92523,0.923587
1.9054,1.190651,0.438399,1.0,0.921135,0.923587
2.0011,1.193438,0.399108,1.0,0.917182,0.923587
