z,a1,n0,n1,a0,a0_avg
0.0871,0.01,0.995483,2.0,0.972684,0.972684
0.1828,0.1445,0.995516,1.900005,0.972684,0.972684
0.2785,0.279,0.995535,1.80001,0.972684,0.972684
0.3742,0.4135,0.995477,1.700015,0.972684,0.972684
0.4699,0.548,0.99548,1.60002,0.972684,0.972684
0.5656,0.4135,0.995488,1.300035,0.972684,0.972684
0.6613,0.69068,0.987021,1.60002,0.972684,0.972684
0.757,1.076937,0.643728,1.359534,0.972684,0.972684
0.8527,1.283162,0.273911,1.00005,0.972684,0.972684
0.9484,1.344082,0.132535,0.900055,0.972684,0.972684
1.0441,1.37511,0.250096,0.80006,0.972684,0.972684
1.1398,1.424238,0.341049,0.700065,0.972684,0.972684
1.2355,1.485406,0.164665,0.60007,0.972684,0.972684
1.3312,1.566973,0.176154,0.500075,0.972684,0.972684
1.4269,1.657777,0.146378,0.40008,0.972684,0.972684
1.5226,1.764295,0.004881,0.300085,0.972684,0.972684
1.6183,1.93269,0.075074,0.20009,0.972684,0.972684
1.714,2.245819,0.065525,0.100095,0.972684,0.972684
1.8097,2.7,0.001983,0.032985,0.972684,0.972684
1.9054,2.7,0.057683,0.035216,0.972684,0.972684
2.0011,2.7,0.001983,0.032985,0.972684,0.972684
