z,a1,n0,n1,a0,a0_avg
0.0871,0.204181,1,1,0.883497,0.91062
0.1828,0.198587,1,1,0.882735,0.91062
0.2785,0.197475,1,1,0.88284,0.91062
0.3742,0.19702,1,1,0.882637,0.91062
0.4699,0.201961,1,1,0.882695,0.91062
0.5656,0.294132,1,1,0.887008,0.91062
0.6613,0.454559,1,1,0.898046,0.91062
0.757,0.584945,1,1,0.906725,0.91062
0.8527,0.696047,1,1,0.913799,0.91062
0.9484,0.796783,1,1,0.920222,0.91062
1.0441,0.883497,0.999571,1,0.924501,0.91062
1.1398,0.95129,0.97405,1,0.927378,0.91062
1.2355,1.004439,0.931632,1,0.92906,0.91062
1.3312,1.046098,0.884182,1,0.929494,0.91062
1.4269,1.077983,0.832567,1,0.929258,0.91062
1.5226,1.104412,0.781243,1,0.928361,0.91062
1.6183,1.121647,0.727011,1,0.926643,0.91062
1.714,1.137523,0.676592,1,0.92521,0.91062
1.8097,1.150517,0.630889,1,0.923183,0.91062
1.9054,1.162267,0.590014,1,0.921122,0.91062
2.0011,1.168818,0.547464,1,0.918605,0.91062
