z,a1,n0,n1,a0,a0_avg
0.0871,1e-06,1.0,0.003936,0.847848,0.847848
0.1828,0.040001,1.0,0.038859,0.847848,0.847848
0.2785,2e-06,1.0,0.073792,0.847848,0.847848
0.3742,0.040001,1.0,0.038859,0.847848,0.847848
0.4699,0.080001,1.0,0.073782,0.847848,0.847848
0.5656,0.120001,1.0,0.108706,0.847848,0.847848
0.6613,0.160001,1.0,0.143629,0.847848,0.847848
0.757,0.200001,1.0,0.178552,0.847848,0.847848
0.8527,0.240001,1.0,0.213475,0.847848,0.847848
0.9484,0.317239,1.0,0.248398,0.847848,0.847848
1.0441,0.422524,1.0,0.283322,0.847848,0.847848
1.1398,0.490018,1.0,0.318245,0.847848,0.847848
1.2355,0.541584,1.0,0.353168,0.847848,0.847848
1.3312,0.582294,1.0,0.388091,0.847848,0.847848
1.4269,0.603027,1.0,0.445057,0.847848,0.847848
1.5226,0.593784,1.0,0.547276,0.847848,0.847848
1.6183,0.599449,1.0,0.632554,0.847848,0.847848
1.714,0.62536,1.0,0.667477,0.847848,0.847848
1.8097,0.648209,1.0,0.7024,0.847848,0.847848
1.9054,0.680213,1.0,0.7024,0.847848,0.847848
2.0011,0.72,1.0,0.697689,0.847848,0.847848
