z,a1,n0,n1,a0,a0_avg
0.0871,0.229,1.0,2.0,0.960741,0.960741
0.1828,0.3385,1.0,2.0,0.960741,0.960741
0.2785,0.425533,1.0,2.0,0.960741,0.960741
0.3742,0.42703,1.0,2.0,0.960741,0.960741
0.4699,0.429696,1.0,2.0,0.960741,0.960741
0.5656,0.492148,1.0,2.0,0.960741,0.960741
0.6613,0.640842,1.0,2.0,0.960741,0.960741
0.757,0.807563,0.957516,1.834185,0.960741,0.960741
0.8527,0.960458,0.824964,1.5342,0.960741,0.960741
0.9484,1.102136,0.682702,1.234215,0.960741,0.960741
1.0441,1.251196,0.562021,0.93423,0.960741,0.960741
1.1398,1.4335,0.463284,0.642147,0.960741,0.960741
1.2355,1.543,0.381792,0.513361,0.960741,0.960741
1.3312,1.6525,0.322174,0.409184,0.960741,0.960741
1.4269,1.762,0.273448,0.321998,0.960741,0.960741
1.5226,1.8715,0.235061,0.253551,0.960741,0.960741
1.6183,1.981,0.203631,0.197937,0.960741,0.960741
1.714,2.067054,0.177343,0.162279,0.960741,0.960741
1.8097,2.139707,0.155534,0.137203,0.960741,0.960741
1.9054,2.2,0.137607,0.119219,0.960741,0.960741
2.0011,2.2,0.123256,0.119215,0.960741,0.960741
