z,a1,n0,n1,a0,a0_avg
0.0871,0.692702,1.0,1.0,0.978008,0.975855
0.1828,0.692648,1.0,1.0,0.977998,0.975855
0.2785,0.692629,1.0,1.0,0.977992,0.975855
0.3742,0.692844,1.0,1.0,0.978011,0.975855
0.4699,0.703762,1.0,1.0,0.978462,0.975855
0.5656,0.841735,1.0,1.0,0.983206,0.975855
0.6613,1.060917,0.97655,1.0,0.985898,0.975855
0.757,1.167691,0.809183,1.0,0.976533,0.975855
0.8527,1.415907,0.623569,0.658577,0.979008,0.975855
0.9484,1.622663,0.478448,0.448369,0.980424,0.975855
1.0441,1.792538,0.373265,0.3193,0.980276,0.975855
1.1398,1.939991,0.294656,0.232287,0.979811,0.975855
1.2355,2.070376,0.238955,0.17402,0.978957,0.975855
1.3312,2.186433,0.196983,0.13316,0.977993,0.975855
1.4269,2.291381,0.16328,0.102929,0.977012,0.975855
1.5226,2.388353,0.137246,0.080748,0.976097,0.975855
1.6183,2.478489,0.117145,0.064439,0.97527,0.975855
1.714,2.5,0.101299,0.058875,0.970612,0.975855
1.8097,2.5,0.088624,0.05638,0.965216,0.975855
1.9054,2.5,0.078323,0.05427,0.960326,0.975855
2.0011,2.5,0.069847,0.052457,0.955845,0.975855
