z,a1,n0,n1,a0,a0_avg
0.0871,0.27082,1.0,0.183228,0.923742,0.923742
0.1828,0.34577,1.0,0.233031,0.923742,0.923742
0.2785,0.42072,1.0,0.282834,0.923742,0.923742
0.3742,0.49567,1.0,0.332637,0.923742,0.923742
0.4699,0.542518,1.0,0.332637,0.923742,0.923742
0.5656,0.602152,1.0,0.332637,0.923742,0.923742
0.6613,0.672363,1.0,0.482047,0.923742,0.923742
0.757,0.79547,1.0,0.53185,0.923742,0.923742
0.8527,0.87042,1.0,0.581653,0.923742,0.923742
0.9484,0.94537,1.0,0.631456,0.923742,0.923742
1.0441,1.02032,0.984252,0.68126,0.923742,0.923742
1.1398,1.09527,0.933176,0.731063,0.923742,0.923742
1.2355,1.129507,0.868473,0.780866,0.923742,0.923742
1.3312,1.14704,0.798156,0.830669,0.923742,0.923742
1.4269,1.156847,0.73053,0.880472,0.923742,0.923742
1.5226,1.160615,0.665113,0.930276,0.923742,0.923742
1.6183,1.160711,0.605353,0.980079,0.923742,0.923742
1.714,1.168593,0.550336,1.0,0.923742,0.923742
1.8097,1.180999,0.497459,1.0,0.923742,0.923742
1.9054,1.192236,0.453859,1.0,0.923742,0.923742
2.0011,1.23018,0.413413,1.0,0.923742,0.923742
