z,a1,n0,n1,a0,a0_avg
0.0871,3e-06,1.0,0.014782,0.853356,0.853356
0.1828,4e-06,1.0,0.020206,0.853356,0.853356
0.2785,2e-06,1.0,0.011776,0.853356,0.853356
0.3742,0.050001,1.0,0.038859,0.853356,0.853356
0.4699,0.100001,1.0,0.073782,0.853356,0.853356
0.5656,0.150001,1.0,0.108706,0.853356,0.853356
0.6613,0.200001,1.0,0.143629,0.853356,0.853356
0.757,0.357463,1.0,0.178552,0.853356,0.853356
0.8527,0.5,1.0,0.214771,0.853356,0.853356
0.9484,0.55,1.0,0.292672,0.853356,0.853356
1.0441,0.6,1.0,0.349089,0.853356,0.853356
1.1398,0.65,1.0,0.386446,0.853356,0.853356
1.2355,0.64685,1.0,0.492861,0.853356,0.853356
1.3312,0.686767,1.0,0.527784,0.853356,0.853356
1.4269,0.722711,1.0,0.562707,0.853356,0.853356
1.5226,0.75299,1.0,0.59763,0.853356,0.853356
1.6183,0.783127,1.0,0.632554,0.853356,0.853356
1.714,0.808644,1.0,0.667477,0.853356,0.853356
1.8097,0.835692,1.0,0.7024,0.853356,0.853356
1.9054,0.870732,1.0,0.7024,0.853356,0.853356
2.0011,0.907276,0.996973,0.7024,0.853356,0.853356
