z,a1,n0,n1,a0,a0_avg
0.0871,0.003662,1.0,0.000114,0.914457,0.917039
0.1828,0.003638,1.0,4.6e-05,0.915189,0.917039
0.2785,0.004219,1.0,0.000142,0.915189,0.917039
0.3742,0.005156,1.0,5.4e-05,0.915173,0.917039
0.4699,0.007656,1.0,9.2e-05,0.914966,0.917039
0.5656,0.003464,1.0,1e-06,0.915303,0.917039
0.6613,0.004707,1.0,6.1e-05,0.902213,0.917039
0.757,0.204043,1.0,1.0,0.889289,0.917039
0.8527,0.392439,1.0,1.0,0.899083,0.917039
0.9484,0.51591,1.0,1.0,0.906418,0.917039
1.0441,0.61622,1.0,1.0,0.911806,0.917039
1.1398,0.714799,1.0,1.0,0.915999,0.917039
1.2355,0.81341,1.0,1.0,0.920529,0.917039
1.3312,0.907262,0.994233,1.0,0.924828,0.917039
1.4269,0.979356,0.957298,1.0,0.927811,0.917039
1.5226,1.029757,0.902096,1.0,0.929179,0.917039
1.6183,1.067467,0.848091,1.0,0.929728,0.917039
1.714,1.095057,0.796654,1.0,0.929364,0.917039
1.8097,1.115589,0.749327,1.0,0.928671,0.917039
1.9054,1.130198,0.702599,1.0,0.927277,0.917039
2.0011,1.14216,0.660784,1.0,0.92535,0.917039
