z,a1,n0,n1,a0,a0_avg
0.0871,0.568523,1.0,1.0,0.980359,0.978746
0.1828,0.568576,1.0,1.0,0.980367,0.978746
0.2785,0.568577,1.0,1.0,0.980368,0.978746
0.3742,0.56857,1.0,1.0,0.980365,0.978746
0.4699,0.568537,1.0,1.0,0.980342,0.978746
0.5656,0.641951,1.0,1.0,0.984514,0.978746
0.6613,0.989315,0.996847,1.0,0.998582,0.978746
0.757,1.175187,0.813152,1.0,0.991853,0.978746
0.8527,1.325289,0.593274,0.818517,0.981152,0.978746
0.9484,1.582486,0.437957,0.501502,0.983078,0.978746
1.0441,1.781348,0.336148,0.333941,0.983812,0.978746
1.1398,1.942522,0.269569,0.234982,0.982778,0.978746
1.2355,2.079483,0.222033,0.173241,0.981789,0.978746
1.3312,2.199748,0.184099,0.131119,0.980425,0.978746
1.4269,2.310387,0.152254,0.099852,0.979206,0.978746
1.5226,2.412115,0.126378,0.077209,0.978075,0.978746
1.6183,2.5,0.106156,0.061586,0.976637,0.978746
1.714,2.5,0.071911,0.057353,0.968034,0.978746
1.8097,2.5,0.094117,0.055975,0.965572,0.978746
1.9054,2.5,0.085117,0.053776,0.960842,0.978746
2.0011,2.5,0.069086,0.051704,0.955506,0.978746
