z,a1,n0,n1,a0,a0_avg
0.0871,1e-06,1.0,0.003936,0.847402,0.847402
0.1828,0.040001,1.0,0.038859,0.847402,0.847402
0.2785,0.080001,1.0,0.073782,0.847402,0.847402
0.3742,0.120001,1.0,0.108706,0.847402,0.847402
0.4699,0.080001,1.0,0.073782,0.847402,0.847402
0.5656,0.120001,1.0,0.108706,0.847402,0.847402
0.6613,0.160001,1.0,0.143629,0.847402,0.847402
0.757,0.200001,1.0,0.178552,0.847402,0.847402
0.8527,0.240001,1.0,0.213475,0.847402,0.847402
0.9484,0.316896,1.0,0.248398,0.847402,0.847402
1.0441,0.426901,1.0,0.283322,0.847402,0.847402
1.1398,0.477756,1.0,0.318245,0.847402,0.847402
1.2355,0.521007,1.0,0.353168,0.847402,0.847402
1.3312,0.564115,1.0,0.388091,0.847402,0.847402
1.4269,0.609431,1.0,0.423014,0.847402,0.847402
1.5226,0.56914,1.0,0.59763,0.847402,0.847402
1.6183,0.596253,1.0,0.632554,0.847402,0.847402
1.714,0.622017,1.0,0.667477,0.847402,0.847402
1.8097,0.642613,1.0,0.7024,0.847402,0.847402
1.9054,0.681311,1.0,0.7024,0.847402,0.847402
2.0011,0.72,1.0,0.688785,0.847402,0.847402
