z,a1,n0,n1,a0,a0_avg
0.0871,0.27082,1.0,0.183228,0.928691,0.928691
0.1828,0.318354,1.0,0.183228,0.928691,0.928691
0.2785,0.318354,1.0,0.183228,0.928691,0.928691
0.3742,0.318354,1.0,0.183228,0.928691,0.928691
0.4699,0.318354,1.0,0.183228,0.928691,0.928691
0.5656,0.353209,1.0,0.183228,0.928691,0.928691
0.6613,0.715595,1.0,0.210152,0.928691,0.928691
0.757,0.715595,1.0,0.505263,0.928691,0.928691
0.8527,0.842313,1.0,0.581653,0.928691,0.928691
0.9484,0.94537,1.0,0.631456,0.928691,0.928691
1.0441,1.02032,0.986022,0.68126,0.928691,0.928691
1.1398,1.09527,0.923897,0.731063,0.928691,0.928691
1.2355,1.149355,0.846154,0.780866,0.928691,0.928691
1.3312,1.167437,0.766575,0.830669,0.928691,0.928691
1.4269,1.177011,0.696599,0.880472,0.928691,0.928691
1.5226,1.178246,0.63035,0.930276,0.928691,0.928691
1.6183,1.178246,0.573684,0.980079,0.928691,0.928691
1.714,1.183279,0.519773,1.0,0.928691,0.928691
1.8097,1.195277,0.470962,1.0,0.928691,0.928691
1.9054,1.205838,0.426144,1.0,0.928691,0.928691
2.0011,1.23018,0.38563,1.0,0.928691,0.928691
