z,a1,n0,n1,a0,a0_avg
0.0871,1e-06,1.0,0.003936,0.817277,0.817277
0.1828,0.005001,1.0,0.004251,0.817277,0.817277
0.2785,0.010001,1.0,0.004566,0.817277,0.817277
0.3742,0.025001,1.0,0.005512,0.817277,0.817277
0.4699,0.030001,1.0,0.005827,0.817277,0.817277
0.5656,0.035001,1.0,0.006142,0.817277,0.817277
0.6613,0.040001,1.0,0.006458,0.817277,0.817277
0.757,0.045001,1.0,0.006773,0.817277,0.817277
0.8527,0.05,1.0,0.007088,0.817277,0.817277
0.9484,0.055,1.0,0.007403,0.817277,0.817277
1.0441,0.06,1.0,0.007718,0.817277,0.817277
1.1398,0.065,1.0,0.008034,0.817277,0.817277
1.2355,0.07,1.0,0.008349,0.817277,0.817277
1.3312,0.075,1.0,0.008664,0.817277,0.817277
1.4269,0.08,1.0,0.008979,0.817277,0.817277
1.5226,0.085,1.0,0.009294,0.817277,0.817277
1.6183,0.09,1.0,0.00961,0.817277,0.817277
1.714,0.095,1.0,0.009925,0.817277,0.817277
1.8097,0.1,1.0,0.01024,0.817277,0.817277
1.9054,0.1,1.0,0.01024,0.817277,0.817277
2.0011,0.1,1.0,0.01024,0.817277,0.817277
