z,a1,n0,n1,a0,a0_avg
0.0871,0.01,1.0,2.0,0.976588,0.976588
0.1828,0.147,1.0,1.900005,0.976588,0.976588
0.2785,0.284,1.0,1.80001,0.976588,0.976588
0.3742,0.311478,1.0,1.900005,0.976588,0.976588
0.4699,0.319788,1.0,1.80001,0.976588,0.976588
0.5656,0.421,1.0,1.300035,0.976588,0.976588
0.6613,0.713331,1.0,1.60002,0.976588,0.976588
0.757,0.983911,0.789252,1.500025,0.976588,0.976588
0.8527,1.222525,0.528843,1.04372,0.976588,0.976588
0.9484,1.320403,0.372944,0.900055,0.976588,0.976588
1.0441,1.380898,0.28953,0.80006,0.976588,0.976588
1.1398,1.442493,0.250909,0.700065,0.976588,0.976588
1.2355,1.51004,0.221178,0.60007,0.976588,0.976588
1.3312,1.590741,0.187517,0.500075,0.976588,0.976588
1.4269,1.685104,0.152768,0.40008,0.976588,0.976588
1.5226,1.805656,0.075549,0.300085,0.976588,0.976588
1.6183,1.982854,0.062457,0.20009,0.976588,0.976588
1.714,2.287338,0.107807,0.100095,0.976588,0.976588
1.8097,2.68737,0.082669,0.038849,0.976588,0.976588
1.9054,2.75,0.033664,0.032668,0.976588,0.976588
2.0011,2.75,0.077317,0.032746,0.976588,0.976588
