z,a1,n0,n1,a0,a0_avg
0.0871,0.211367,1.0,1.0,0.963872,0.972229
0.1828,0.211222,1.0,0.999998,0.96386,0.972229
0.2785,0.211305,1.0,0.999993,0.963869,0.972229
0.3742,0.211104,1.0,1.0,0.963848,0.972229
0.4699,3.0,0.018528,0.017174,0.972917,0.972229
0.5656,0.212438,1.0,0.999987,0.963894,0.972229
0.6613,0.974694,0.988342,1.0,1.0,0.972229
0.757,1.247161,0.559448,1.0,0.986268,0.972229
0.8527,1.591718,0.283241,0.520996,0.983947,0.972229
0.9484,1.874497,0.177354,0.285289,0.984214,0.972229
1.0441,2.085359,0.177813,0.173555,0.98176,0.972229
1.1398,2.235642,0.202722,0.119573,0.979321,0.972229
1.2355,2.35899,0.183392,0.087246,0.975726,0.972229
1.3312,2.50388,0.144138,0.061233,0.973616,0.972229
1.4269,2.592387,0.13725,0.047536,0.970942,0.972229
1.5226,2.754929,0.092686,0.031036,0.97017,0.972229
1.6183,3.0,0.018528,0.017174,0.972919,0.972229
1.714,2.876676,0.086219,0.022921,0.969111,0.972229
1.8097,3.0,0.012326,0.015027,0.960672,0.972229
1.9054,3.0,0.008552,0.014326,0.955888,0.972229
2.0011,3.0,0.046378,0.015344,0.959989,0.972229
