z,a1,n0,n1,a0,a0_avg
0.0871,0.694558,1.0,1.0,0.986626,0.980007
0.1828,0.692824,1.0,1.0,0.986276,0.980007
0.2785,0.694912,1.0,1.0,0.986739,0.980007
0.3742,0.695071,1.0,1.0,0.986702,0.980007
0.4699,0.695318,1.0,1.0,0.986682,0.980007
0.5656,0.783885,1.0,1.0,0.990208,0.980007
0.6613,1.130609,0.908271,1.0,0.990901,0.980007
0.757,1.46707,0.58812,0.615209,0.985723,0.980007
0.8527,1.806152,0.377939,0.31805,0.987392,0.980007
0.9484,2.051212,0.264319,0.187302,0.985957,0.980007
1.0441,2.245017,0.198407,0.119854,0.984276,0.980007
1.1398,2.400371,0.155895,0.08237,0.982177,0.980007
1.2355,2.537018,0.12471,0.058646,0.980218,0.980007
1.3312,2.665492,0.10078,0.042471,0.978677,0.980007
1.4269,2.785672,0.082128,0.031194,0.977436,0.980007
1.5226,2.897847,0.068039,0.023395,0.976321,0.980007
1.6183,3.0,0.05683,0.017833,0.97522,0.980007
1.714,3.0,0.048196,0.01683,0.969823,0.980007
1.8097,3.0,0.041363,0.016004,0.965085,0.980007
1.9054,3.0,0.036082,0.015313,0.960795,0.980007
2.0011,3.0,0.031832,0.014713,0.956905,0.980007
