z,a1,n0,n1,a0,a0_avg
0.0871,0.01,1.0,2.0,0.972229,0.972229
0.1828,0.1445,1.0,1.900005,0.972229,0.972229
0.2785,0.279,1.0,1.80001,0.972229,0.972229
0.3742,0.4135,1.0,1.700015,0.972229,0.972229
0.4699,0.817,0.018528,1.80001,0.972229,0.972229
0.5656,0.4135,1.0,1.300035,0.972229,0.972229
0.6613,0.752264,0.988342,1.60002,0.972229,0.972229
0.757,1.105409,0.559448,1.323362,0.972229,0.972229
0.8527,1.282405,0.283241,1.00005,0.972229,0.972229
0.9484,1.336308,0.177354,0.900055,0.972229,0.972229
1.0441,1.377979,0.177813,0.80006,0.972229,0.972229
1.1398,1.425035,0.202722,0.700065,0.972229,0.972229
1.2355,1.486047,0.183392,0.60007,0.972229,0.972229
1.3312,1.563268,0.144138,0.500075,0.972229,0.972229
1.4269,1.651226,0.13725,0.40008,0.972229,0.972229
1.5226,1.764499,0.092686,0.300085,0.972229,0.972229
1.6183,1.937931,0.018528,0.20009,0.972229,0.972229
1.714,2.264147,0.086219,0.100095,0.972229,0.972229
1.8097,2.7,0.012326,0.03351,0.972229,0.972229
1.9054,2.7,0.008552,0.033036,0.972229,0.972229
2.0011,2.7,0.046378,0.034423,0.972229,0.972229
