1.1939e-11,1.9512e-08,3.1887e-05,0.052112,85.164,1.3918e+05,2.2746e+08,3.7172e+11,6.0664e+14,3.7677e+17,2.5273e+18,5.1654e+18,7.9619e+18,1.0859e+19,1.3852e+19,1.6946e+19,2.0159e+19,2.3505e+19,2.6991e+19,3.0614e+19,3.4374e+19,3.8267e+19,4.229e+19,4.6539e+19,6.4349e+19,7.3728e+19,4.2281e+19,4.8693e+19,5.2959e+19,9.0335e+19,1.0969e+20,1.0123e+20,1.031e+20,1.136e+20
2.0169e-11,3.2961e-08,5.3867e-05,0.088032,143.87,2.3512e+05,3.8424e+08,6.2794e+11,1.0248e+15,6.3645e+17,4.2674e+18,8.7154e+18,1.3426e+19,1.83e+19,2.3314e+19,2.8466e+19,3.3766e+19,3.9226e+19,4.4851e+19,5.064e+19,5.6591e+19,6.2701e+19,6.8966e+19,7.5481e+19,1.0422e+20,1.1907e+20,6.7436e+19,7.7306e+19,8.3677e+19,1.4338e+20,1.7394e+20,1.5936e+20,1.6148e+20,1.7734e+20
3.6313e-11,5.9345e-08,9.6985e-05,0.1585,259.03,4.2331e+05,6.918e+08,1.1306e+12,1.8451e+15,1.1449e+18,7.6368e+18,1.5492e+19,2.3691e+19,3.2057e+19,4.056e+19,4.9252e+19,5.8209e+19,6.7476e+19,7.7057e+19,8.6932e+19,9.7077e+19,1.0747e+20,1.1809e+20,1.2907e+20,1.7752e+20,2.0202e+20,1.1486e+20,1.3158e+20,1.4228e+20,2.4117e+20,2.9074e+20,2.6688e+20,2.702e+20,2.9581e+20
5.0331e-11,8.2253e-08,0.00013442,0.21968,359.01,5.8672e+05,9.5885e+08,1.567e+12,2.5573e+15,1.5877e+18,1.0621e+19,2.1621e+19,3.3193e+19,4.5081e+19,5.72e+19,6.9511e+19,8.201e+19,9.4707e+19,1.0761e+20,1.2072e+20,1.3404e+20,1.4757e+20,1.6129e+20,1.7526e+20,2.4043e+20,2.7307e+20,1.5397e+20,1.7536e+20,1.8866e+20,3.2125e+20,3.8718e+20,3.5291e+20,3.5559e+20,3.8819e+20
6.9404e-11,1.1342e-07,0.00018536,0.30293,495.07,8.0906e+05,1.3222e+09,2.1608e+12,3.5264e+15,2.1878e+18,1.4574e+19,2.9505e+19,4.5037e+19,6.0822e+19,7.6779e+19,9.2913e+19,1.0927e+20,1.2588e+20,1.4275e+20,1.5983e+20,1.7711e+20,1.9456e+20,2.1215e+20,2.2984e+20,3.1466e+20,3.5619e+20,1.9982e+20,2.2706e+20,2.4357e+20,4.1304e+20,4.9563e+20,4.5015e+20,4.5182e+20,4.9105e+20
8.4993e-11,1.389e-07,0.000227,0.37098,606.27,9.908e+05,1.6192e+09,2.6462e+12,4.3186e+15,2.6791e+18,1.7842e+19,3.6098e+19,5.5065e+19,7.4306e+19,9.3689e+19,1.1318e+20,1.328e+20,1.5257e+20,1.7247e+20,1.925e+20,2.1263e+20,2.3283e+20,2.5309e+20,2.7325e+20,3.726e+20,4.205e+20,2.359e+20,2.6714e+20,2.857e+20,4.823e+20,5.7647e+20,5.2263e+20,5.2321e+20,5.6687e+20
9.7585e-11,1.5948e-07,0.00026063,0.42593,696.09,1.1376e+06,1.8591e+09,3.0382e+12,4.9583e+15,3.0761e+18,2.0484e+19,4.1437e+19,6.3198e+19,8.5257e+19,1.0743e+20,1.2962e+20,1.5181e+20,1.7399e+20,1.9615e+20,2.183e+20,2.4041e+20,2.6247e+20,2.8447e+20,3.0611e+20,4.1669e+20,4.6939e+20,2.6206e+20,2.9582e+20,3.1542e+20,5.3277e+20,6.3602e+20,5.7425e+20,5.7309e+20,6.1947e+20
1.1136e-10,1.8198e-07,0.00029741,0.48604,794.31,1.2981e+06,2.1214e+09,3.467e+12,5.658e+15,3.5079e+18,2.3271e+19,4.6846e+19,7.1076e+19,9.5393e+19,1.1964e+20,1.4383e+20,1.6802e+20,1.9227e+20,2.1656e+20,2.4082e+20,2.6502e+20,2.8911e+20,3.1305e+20,3.3645e+20,4.5589e+20,5.1166e+20,2.8755e+20,3.2423e+20,3.4531e+20,5.7625e+20,6.8277e+20,6.1815e+20,6.1634e+20,6.6361e+20
1.0813e-10,1.7671e-07,0.00028879,0.47195,771.29,1.2605e+06,2.0599e+09,3.3665e+12,5.494e+15,3.4093e+18,2.2737e+19,4.6068e+19,7.0383e+19,9.5087e+19,1.199e+20,1.4463e+20,1.6915e+20,1.9342e+20,2.1744e+20,2.4126e+20,2.6488e+20,2.8833e+20,3.1161e+20,3.3428e+20,4.5378e+20,5.1018e+20,2.8462e+20,3.2027e+20,3.4061e+20,5.7425e+20,6.8388e+20,6.1627e+20,6.1376e+20,6.6199e+20
1.1136e-10,1.8199e-07,0.00029742,0.48606,794.34,1.2982e+06,2.1215e+09,3.4671e+12,5.6582e+15,3.508e+18,2.3272e+19,4.6847e+19,7.1079e+19,9.5396e+19,1.1964e+20,1.4383e+20,1.6803e+20,1.9227e+20,2.1655e+20,2.4082e+20,2.6501e+20,2.8909e+20,3.1302e+20,3.364e+20,4.5555e+20,5.1101e+20,2.8779e+20,3.245e+20,3.4565e+20,5.7509e+20,6.7968e+20,6.164e+20,6.1477e+20,6.6123e+20
