61834,2.4997e+06,1.0105e+08,4.0851e+09,1.6514e+11,6.6745e+12,2.6726e+14,8.175e+15,6.9639e+16,2.4385e+17,5.8644e+17,1.1546e+18,1.9825e+18,3.0988e+18,4.5259e+18,6.2749e+18,8.3511e+18,1.0759e+19,1.3507e+19,1.6593e+19,2.0027e+19,2.38e+19,2.7905e+19,3.2333e+19,3.7073e+19,4.2101e+19,4.7398e+19,5.2953e+19,5.8731e+19,6.4714e+19
1.1089e+05,4.4828e+06,1.8122e+08,7.3261e+09,2.9616e+11,1.197e+13,4.7927e+14,1.4639e+16,1.2368e+17,4.2781e+17,1.0208e+18,2.0076e+18,3.4276e+18,5.3105e+18,7.6867e+18,1.0567e+19,1.3949e+19,1.783e+19,2.2222e+19,2.7108e+19,3.2483e+19,3.8333e+19,4.4644e+19,5.1392e+19,5.8559e+19,6.6105e+19,7.4004e+19,8.2235e+19,9.0748e+19,9.9518e+19
1.8906e+05,7.6429e+06,3.0897e+08,1.249e+10,5.0494e+11,2.0408e+13,8.1709e+14,2.4942e+16,2.0998e+17,7.2199e+17,1.7219e+18,3.3932e+18,5.7881e+18,8.9364e+18,1.2882e+19,1.7641e+19,2.3208e+19,2.9579e+19,3.6759e+19,4.4719e+19,5.3393e+19,6.2784e+19,7.2859e+19,8.3557e+19,9.4844e+19,1.0665e+20,1.1892e+20,1.3161e+20,1.4462e+20,1.5791e+20
2.8462e+05,1.1506e+07,4.6515e+08,1.8804e+10,7.6016e+11,3.0723e+13,1.2301e+15,3.7504e+16,3.1364e+17,1.0666e+18,2.5251e+18,4.8705e+18,8.1806e+18,1.2465e+19,1.7746e+19,2.4005e+19,3.1205e+19,3.9311e+19,4.8301e+19,5.8126e+19,6.8736e+19,8.0095e+19,9.2157e+19,1.0485e+20,1.1813e+20,1.3193e+20,1.462e+20,1.6089e+20,1.7591e+20,1.9122e+20
4.0957e+05,1.6557e+07,6.6934e+08,2.7059e+10,1.0939e+12,4.421e+13,1.77e+15,5.3915e+16,4.4839e+17,1.5097e+18,3.5132e+18,6.641e+18,1.1002e+19,1.6567e+19,2.3327e+19,3.1228e+19,4.0202e+19,5.0182e+19,6.1119e+19,7.2937e+19,8.5573e+19,9.8949e+19,1.13e+20,1.2762e+20,1.4275e+20,1.5833e+20,1.743e+20,1.9058e+20,2.0708e+20,2.2374e+20
5.4559e+05,2.2056e+07,8.9163e+08,3.6045e+10,1.4571e+12,5.8892e+13,2.3576e+15,7.1702e+16,5.9087e+17,1.9556e+18,4.4519e+18,8.2958e+18,1.3557e+19,2.0133e+19,2.7966e+19,3.6956e+19,4.6999e+19,5.8002e+19,6.989e+19,8.2569e+19,9.5967e+19,1.0999e+20,1.2456e+20,1.3957e+20,1.5496e+20,1.7067e+20,1.8667e+20,2.0284e+20,2.1912e+20,2.3544e+20
6.8909e+05,2.7857e+07,1.1262e+09,4.5526e+10,1.8404e+12,7.4383e+13,2.9775e+15,9.0361e+16,7.3564e+17,2.3909e+18,5.3494e+18,9.8171e+18,1.5773e+19,2.3047e+19,3.1519e+19,4.1041e+19,5.1472e+19,6.2694e+19,7.4599e+19,8.7081e+19,1.0006e+20,1.1345e+20,1.2716e+20,1.4109e+20,1.5521e+20,1.6945e+20,1.8377e+20,1.9811e+20,2.1243e+20,2.2667e+20
8.4147e+05,3.4017e+07,1.3752e+09,5.5593e+10,2.2474e+12,9.083e+13,3.6357e+15,1.101e+17,8.8561e+17,2.829e+18,6.255e+18,1.1275e+19,1.7766e+19,2.5524e+19,3.4364e+19,4.4092e+19,5.4547e+19,6.5602e+19,7.7125e+19,8.9009e+19,1.0118e+20,1.1355e+20,1.2603e+20,1.3856e+20,1.5108e+20,1.6351e+20,1.7581e+20,1.8794e+20,1.9987e+20,2.1157e+20
9.9817e+05,4.0352e+07,1.6313e+09,6.5945e+10,2.6659e+12,1.0774e+14,4.3123e+15,1.3024e+17,1.0322e+18,3.2222e+18,6.9626e+18,1.2214e+19,1.883e+19,2.6508e+19,3.5007e+19,4.4104e+19,5.363e+19,6.3454e+19,7.3457e+19,8.3543e+19,9.3641e+19,1.0369e+20,1.1363e+20,1.2345e+20,1.3311e+20,1.4258e+20,1.5185e+20,1.609e+20,1.6973e+20,1.7834e+20
1.1573e+06,4.6786e+07,1.8914e+09,7.6461e+10,3.091e+12,1.2492e+14,4.9994e+15,1.5059e+17,1.1758e+18,3.5822e+18,7.5101e+18,1.2882e+19,1.9469e+19,2.6895e+19,3.4897e+19,4.3254e+19,5.1813e+19,6.0459e+19,6.9092e+19,7.7643e+19,8.6006e+19,9.4166e+19,1.0208e+20,1.0978e+20,1.1722e+20,1.2438e+20,1.3127e+20,1.3788e+20,1.4423e+20,1.5032e+20
1.3136e+06,5.3104e+07,2.1468e+09,8.6785e+10,3.5084e+12,1.4179e+14,5.6739e+15,1.7039e+17,1.3078e+18,3.8756e+18,7.8893e+18,1.3216e+19,1.952e+19,2.6399e+19,3.3574e+19,4.084e+19,4.8064e+19,5.517e+19,6.2076e+19,6.8749e+19,7.5159e+19,8.1279e+19,8.7099e+19,9.2644e+19,9.7903e+19,1.0289e+20,1.0761e+20,1.1209e+20,1.1636e+20,1.2042e+20
1.4609e+06,5.9059e+07,2.3875e+09,9.6518e+10,3.9018e+12,1.577e+14,6.3095e+15,1.8888e+17,1.4242e+18,4.1093e+18,8.1807e+18,1.3351e+19,1.925e+19,2.55e+19,3.1826e+19,3.8051e+19,4.4078e+19,4.9853e+19,5.5327e+19,6.049e+19,6.5344e+19,6.9876e+19,7.4093e+19,7.8021e+19,8.1669e+19,8.5063e+19,8.8224e+19,9.1185e+19,9.398e+19,9.6632e+19
1.6018e+06,6.4753e+07,2.6177e+09,1.0582e+11,4.2779e+12,1.729e+14,6.9169e+15,2.064e+17,1.5288e+18,4.2985e+18,8.3549e+18,1.3298e+19,1.8721e+19,2.4268e+19,2.97e+19,3.4886e+19,3.9765e+19,4.4318e+19,4.8522e+19,5.2386e+19,5.5931e+19,5.916e+19,6.2091e+19,6.4752e+19,6.7164e+19,6.936e+19,7.1365e+19,7.3217e+19,7.4952e+19,7.6597e+19
1.7263e+06,6.9786e+07,2.8211e+09,1.1405e+11,4.6104e+12,1.8633e+14,7.4536e+15,2.2169e+17,1.6123e+18,4.407e+18,8.3158e+18,1.2925e+19,1.7782e+19,2.256e+19,2.7088e+19,3.1289e+19,3.5138e+19,3.8639e+19,4.1791e+19,4.4615e+19,4.7139e+19,4.9383e+19,5.1373e+19,5.3143e+19,5.4719e+19,5.6135e+19,5.7417e+19,5.8601e+19,5.9724e+19,6.0813e+19
