z,a1,n0,n1,a0,a0_avg
0.0871,0.004348,1.0,7.7e-05,0.928525,0.932597
0.1828,0.004146,1.0,2e-06,0.92928,0.932597
0.2785,0.004211,1.0,0.0001,0.929283,0.932597
0.3742,0.004843,1.0,5.6e-05,0.92936,0.932597
0.4699,0.00388,1.0,0.000645,0.928958,0.932597
0.5656,0.005956,1.0,3e-06,0.929017,0.932597
0.6613,0.13527,1.0,1.0,0.907048,0.932597
0.757,0.463991,1.0,1.0,0.922375,0.932597
0.8527,0.650883,1.0,1.0,0.932812,0.932597
0.9484,0.806111,1.0,1.0,0.940199,0.932597
1.0441,0.949514,0.986374,1.0,0.945406,0.932597
1.1398,1.050686,0.907571,1.0,0.948696,0.932597
1.2355,1.112323,0.811606,1.0,0.948793,0.932597
1.3312,1.146415,0.724802,1.0,0.946711,0.932597
1.4269,1.167679,0.658963,1.0,0.943758,0.932597
1.5226,1.178519,0.604081,1.0,0.939988,0.932597
1.6183,1.187177,0.557411,1.0,0.935885,0.932597
1.714,1.191606,0.510266,1.0,0.931503,0.932597
1.8097,1.193848,0.462613,1.0,0.926698,0.932597
1.9054,1.197156,0.41732,1.0,0.922534,0.932597
2.0011,1.198547,0.376889,1.0,0.917701,0.932597
