z,a1,n0,n1,a0,a0_avg
0.0871,0.01,1.0,2.0,0.977417,0.977417
0.1828,0.152,1.0,1.900005,0.977417,0.977417
0.2785,0.294,1.0,1.80001,0.977417,0.977417
0.3742,0.436,1.0,1.700015,0.977417,0.977417
0.4699,0.294,1.0,1.40003,0.977417,0.977417
0.5656,0.436,1.0,1.300035,0.977417,0.977417
0.6613,0.849073,0.95229,1.60002,0.977417,0.977417
0.757,1.223413,0.434825,1.100045,0.977417,0.977417
0.8527,1.296232,0.209983,1.00005,0.977417,0.977417
0.9484,1.33607,0.141828,0.900055,0.977417,0.977417
1.0441,1.372734,0.165337,0.80006,0.977417,0.977417
1.1398,1.423297,0.178431,0.700065,0.977417,0.977417
1.2355,1.482446,0.146436,0.60007,0.977417,0.977417
1.3312,1.572,0.111638,0.500075,0.977417,0.977417
1.4269,1.714,0.085041,0.40008,0.977417,0.977417
1.5226,1.856,0.066523,0.300085,0.977417,0.977417
1.6183,1.998,0.052751,0.20009,0.977417,0.977417
1.714,2.264074,0.043,0.100095,0.977417,0.977417
1.8097,2.85,0.035963,0.025042,0.977417,0.977417
1.9054,2.85,0.030687,0.024719,0.977417,0.977417
2.0011,2.85,0.026813,0.024492,0.977417,0.977417
