z,a1,n0,n1,a0,a0_avg
0.0871,0.294,1.0,2.0,0.972992,0.972992
0.1828,0.436,1.0,2.0,0.972992,0.972992
0.2785,0.53723,1.0,1.825073,0.972992,0.972992
0.3742,0.537184,1.0,1.82552,0.972992,0.972992
0.4699,0.542721,1.0,1.80001,0.972992,0.972992
0.5656,0.658908,1.0,1.700015,0.972992,0.972992
0.6613,1.016839,0.927588,1.207827,0.972992,0.972992
0.757,1.171558,0.677582,1.100045,0.972992,0.972992
0.8527,1.258621,0.476747,1.00005,0.972992,0.972992
0.9484,1.318839,0.34601,0.900055,0.972992,0.972992
1.0441,1.371709,0.259804,0.80006,0.972992,0.972992
1.1398,1.42433,0.201326,0.700065,0.972992,0.972992
1.2355,1.488549,0.161552,0.60007,0.972992,0.972992
1.3312,1.572,0.131813,0.500075,0.972992,0.972992
1.4269,1.714,0.108569,0.40008,0.972992,0.972992
1.5226,1.856,0.090428,0.300085,0.972992,0.972992
1.6183,1.998,0.07658,0.20009,0.972992,0.972992
1.714,2.264612,0.065851,0.100095,0.972992,0.972992
1.8097,2.85,0.057431,0.024864,0.972992,0.972992
1.9054,2.85,0.05074,0.024658,0.972992,0.972992
2.0011,2.85,0.045371,0.024499,0.972992,0.972992
