z,a1,n0,n1,a0,a0_avg
0.0871,0.710361,1.0,1.0,0.975303,0.972992
0.1828,0.710296,1.0,1.0,0.975293,0.972992
0.2785,0.710343,1.0,1.0,0.975301,0.972992
0.3742,0.710366,1.0,1.0,0.975303,0.972992
0.4699,0.713106,1.0,1.0,0.975404,0.972992
0.5656,0.843442,1.0,1.0,0.979608,0.972992
0.6613,1.103887,0.927588,1.0,0.979,0.972992
0.757,1.387289,0.677582,0.676498,0.977072,0.972992
0.8527,1.672049,0.476747,0.401726,0.978313,0.972992
0.9484,1.900048,0.34601,0.250924,0.977756,0.972992
1.0441,2.083086,0.259804,0.167355,0.976874,0.972992
1.1398,2.236333,0.201326,0.116261,0.975213,0.972992
1.2355,2.368985,0.161552,0.084482,0.973505,0.972992
1.3312,2.488386,0.131813,0.06277,0.97196,0.972992
1.4269,2.598213,0.108569,0.047239,0.970609,0.972992
1.5226,2.700438,0.090428,0.036027,0.969446,0.972992
1.6183,2.795751,0.07658,0.028008,0.968438,0.972992
1.714,2.884744,0.065851,0.022158,0.967556,0.972992
1.8097,2.967634,0.057431,0.017827,0.966771,0.972992
1.9054,3.0,0.05074,0.015995,0.963979,0.972992
2.0011,3.0,0.045371,0.015439,0.960135,0.972992
