z,a1,n0,n1,a0,a0_avg
0.0871,0.505021,1.0,1.0,0.985313,0.980559
0.1828,0.507586,1.0,1.0,0.985593,0.980559
0.2785,0.506502,1.0,1.0,0.985546,0.980559
0.3742,0.506338,1.0,1.0,0.985516,0.980559
0.4699,0.508043,1.0,1.0,0.985763,0.980559
0.5656,0.525328,1.0,1.0,0.987075,0.980559
0.6613,1.106957,0.921973,1.0,1.0,0.980559
0.757,1.371289,0.483828,0.7983,0.987139,0.980559
0.8527,1.775568,0.267241,0.353697,0.989224,0.980559
0.9484,2.066757,0.187514,0.186869,0.989534,0.980559
1.0441,2.269107,0.173754,0.115658,0.987226,0.980559
1.1398,2.406776,0.163672,0.081993,0.984025,0.980559
1.2355,2.539336,0.134215,0.058622,0.981295,0.980559
1.3312,2.678453,0.105426,0.041345,0.979427,0.980559
1.4269,2.814995,0.082586,0.029191,0.978298,0.980559
1.5226,2.939137,0.0661,0.021286,0.977389,0.980559
1.6183,3.0,0.053579,0.017602,0.97413,0.980559
1.714,3.0,0.044364,0.016626,0.968767,0.980559
1.8097,3.0,0.037371,0.01581,0.964133,0.980559
1.9054,3.0,0.032226,0.015163,0.960064,0.980559
2.0011,3.0,0.028189,0.014577,0.956287,0.980559
