-4.05975,4535300000,183340000000,7410300000000,297060000000000,9.3236E+015,8.0882E+016,2.7378E+017,6.433E+017,1.2266E+018,2.0446E+018,3.164E+018,4.6156E+018,6.3893E+018,8.4894E+018,1.0923E+019,1.37E+019,1.6818E+019,2.0288E+019,2.4104E+019,2.8256E+019,3.2748E+019,3.7565E+019
-3.924,8217300000,332190000000,13426000000000,538210000000000,1.6874E+016,1.4538E+017,4.862E+017,1.128E+018,2.1275E+018,3.5293E+018,5.4268E+018,7.8448E+018,1.0763E+019,1.4182E+019,1.8101E+019,2.2534E+019,2.7466E+019,3.289E+019,3.8801E+019,4.5176E+019,5.2012E+019,5.928E+019
-3.78825,13943000000,563670000000,22782000000000,913240000000000,2.8614E+016,2.4561E+017,8.1626E+017,1.8824E+018,3.5423E+018,5.9479E+018,9.1508E+018,1.3154E+019,1.7971E+019,2.3594E+019,3.0023E+019,3.7268E+019,4.5298E+019,5.4054E+019,6.3547E+019,7.3735E+019,8.4588E+019,9.6059E+019
-3.6525,20800000000,840860000000,33986000000000,1362300000000000,4.2634E+016,3.6332E+017,1.1927E+018,2.7173E+018,5.0665E+018,8.445E+018,1.2764E+019,1.8114E+019,2.4446E+019,3.1719E+019,3.99E+019,4.897E+019,5.8884E+019,6.9592E+019,8.1066E+019,9.3252E+019,1.061E+020,1.1957E+020
-3.51675,29546000000,1194400000000,48276000000000,1935000000000000,6.0494E+016,5.1206E+017,1.6621E+018,3.7465E+018,6.9542E+018,1.1354E+019,1.6962E+019,2.3802E+019,3.1791E+019,4.085E+019,5.0916E+019,6.1945E+019,7.3867E+019,8.6616E+019,1.0013E+020,1.1432E+020,1.2913E+020,1.4448E+020
-3.381,39160000000,1583100000000,63984000000000,2564500000000000,8.006E+016,6.7176E+017,2.1486E+018,4.7658E+018,8.7361E+018,1.4E+019,2.0628E+019,2.8552E+019,3.7642E+019,4.7785E+019,5.8886E+019,7.0877E+019,8.3671E+019,9.719E+019,1.1136E+020,1.2608E+020,1.4128E+020,1.5689E+020
-3.24525,49816000000,2013900000000,81395000000000,3262100000000000,1.0166E+017,8.4379E+017,2.6504E+018,5.757E+018,1.0302E+019,1.6313E+019,2.3635E+019,3.219E+019,4.1807E+019,5.2334E+019,6.3646E+019,7.5643E+019,8.8224E+019,1.0131E+020,1.1481E+020,1.2864E+020,1.4273E+020,1.5701E+020
-3.1095,61216000000,2474700000000,100020000000000,4008400000000000,1.2469E+017,1.0234E+018,3.1554E+018,6.72E+018,1.1759E+019,1.8371E+019,2.62E+019,3.5113E+019,4.4939E+019,5.5498E+019,6.6647E+019,7.8265E+019,9.0244E+019,1.0252E+020,1.15E+020,1.2762E+020,1.4029E+020,1.5298E+020
-2.97375,72304000000,2922900000000,118140000000000,4734000000000000,1.4692E+017,1.1888E+018,3.5809E+018,7.4448E+018,1.2777E+019,1.948E+019,2.7244E+019,3.5807E+019,4.4981E+019,5.4586E+019,6.4478E+019,7.4546E+019,8.4699E+019,9.4865E+019,1.0498E+020,1.15E+020,1.2489E+020,1.3463E+020
-2.838,83377000000,3370600000000,136230000000000,5458600000000000,1.6902E+017,1.3488E+018,3.972E+018,8.0633E+018,1.3576E+019,2.0221E+019,2.7697E+019,3.5754E+019,4.4173E+019,5.2794E+019,6.1489E+019,7.0166E+019,7.876E+019,8.7168E+019,9.5374E+019,1.0335E+020,1.1109E+020,1.1858E+020
